14027,5525,16805,13897,8022,9826,16717,14754,6891,1708,1720,317,676,5530,9384,16887,12617,13275,507,8870;846
9496,15914,14668,10658,6225,11868,12368,17102,14673,4066,16321,13829,2372,477,729,317,676,5530,9384,1720;12368,11868,12368,17102,883
17102,883,9496,15914,14668,10658,11868,4745,11333,5553,12611,10597,13640,15530,13066,3971,9226,4245,4995,15760;11868,12368,17102,883
17102,12368,9496,883,15914,14668,10658,16150,518,5534,1194,5981,12643,9068,17694,6872,13230,4745,11333,5553;12368,17102,883
17102,11868,9496,10658,883,15914,14668,4745,11333,5553,12611,10597,15530,13066,3971,13640,4245,9226,4995,15760;17102,883
12368,11868,10658,13640,9496,883,15914,14668,4745,11333,5553,12611,10597,15530,13066,3971,9226,4245,4995,15760;883
8607,15506,12051,17624,1866,16887,477,4066,16321,13829,729,4031,317,676,5530,9384,1720,12617,13275,507;17624,15506,12646
6232,1866,4258,9649,15679,7717,4763,13104,9188,15431,15583,3730,6957,4109,18068,8383,9596,17877,13190,1121;15506,12646
17624,6232,1866,15583,8607,12051,13502,6860,4258,9649,15679,7717,4763,13104,9188,15431,3730,8383,4109,6957;12646
10576,17170,17855,15980,2433,1334,14011,2681,13483,17985,623,676,4619,729,317,5530,507,9384,1720,477;14831
4796,3627,16887,676,16321,13829,477,729,317,5530,14673,9384,1720,12617,13275,507,8870,4066,4031,4619;8391,10130,409,10130,7738,17199,3606
15813,109,17707,7738,10590,4896,13429,14564,12921,13610,17283,4309,15304,510,14097,3371,16287,215,5628,17620;10130,409,10130,7738,17199,3606
8391,7738,15813,215,12293,4309,15587,14351,7110,199,109,17707,10033,6708,9234,17060,10170,16612,10590,15522;409,10130,7738,17199,3606
10130,16532,7738,215,12293,2758,8391,510,10758,17163,9234,17060,6708,15587,15813,14351,10170,16612,7110,15487;10130,7738,17199,3606
409,7738,215,12293,16532,2758,8391,6708,9234,17060,15813,10170,16612,15587,14351,15487,15522,7110,15869,7459;7738,17199,3606
10130,215,12293,409,17199,8391,15813,15522,4309,7110,2758,6708,17060,9234,10170,16612,15487,199,15587,15869;17199,3606
7738,10130,215,12293,15522,199,4309,409,8391,9929,15813,7110,2758,17060,9234,6708,9090,9670,10170,16612;3606
16280,8018,10618,12607,10776,12107,15696,7361,13666,1892,1517,10677,1625,2777,3957,317,14673,4066,16321,13829;14491
12060,16463,9029,11717,1620,17905,4633,9433,7466,15319,1705,8698,11655,2020,8721,675,5089,13333,11470,16923;9275,13232,16502,13232,3171,354,9275,13232,16502,3171,9275,3171,354,13232,16502,9275
17389,9029,4633,1484,12060,9433,3171,354,16463,11717,12740,17905,1705,13333,10477,1620,5089,12088,15319,13232;13232,16502,13232,3171,354,9275,13232,16502,3171,9275,3171,354,13232,16502,9275
9275,354,3171,4633,17389,9029,16502,9433,12740,1484,12060,17905,10477,1620,16463,12088,6445,11717,5089,7070;16502,13232,3171,354,9275,13232,16502,3171,9275,3171,354,13232,16502,9275
9275,3171,354,13232,4633,9433,12740,6445,7070,12088,10477,1620,17389,9029,10080,17905,5951,14117,5089,11138;13232,3171,354,9275,13232,16502,3171,9275,3171,354,13232,16502,9275
9275,3171,354,16502,4633,9433,12740,6445,7070,12088,10080,10477,1620,14117,6255,8547,5951,11075,7988,11138;3171,354,9275,13232,16502,3171,9275,3171,354,13232,16502,9275
354,9275,16502,13232,9433,12740,12088,10477,1620,8384,13944,3319,6445,4633,7070,10080,6255,8547,14117,7988;354,9275,13232,16502,3171,9275,3171,354,13232,16502,9275
3171,9275,9433,16502,13232,12088,12740,3319,10477,1620,11075,13944,5951,11057,6445,10080,7070,8384,6255,8547;9275,13232,16502,3171,9275,3171,354,13232,16502,9275
354,3171,9433,13232,16502,12740,12088,4633,10477,3319,1620,1484,6445,13944,5951,17905,7070,11075,8384,5089;13232,16502,3171,9275,3171,354,13232,16502,9275
9275,354,3171,9433,16502,12740,12088,4633,10477,3319,6445,1620,5951,13944,7070,11075,17905,8384,10080,1484;16502,3171,9275,3171,354,13232,16502,9275
9275,354,3171,13232,9433,12740,12088,4633,10477,6445,3319,7070,1620,5951,11075,13944,10080,8547,6255,8384;3171,9275,3171,354,13232,16502,9275
9275,354,9433,16502,13232,12740,12088,10477,3319,1620,13944,4633,6445,7070,8384,11075,5951,10080,17905,8547;9275,3171,354,13232,16502,9275
3171,354,9433,16502,13232,12740,4633,12088,10477,6445,1620,3319,13944,7070,17905,5951,8384,1484,11075,10080;3171,354,13232,16502,9275
9275,354,9433,16502,13232,12740,12088,4633,10477,1620,3319,13944,6445,7070,8384,17905,5951,10080,11075,8547;354,13232,16502,9275
9275,3171,9433,16502,13232,12740,12088,10477,3319,4633,1620,13944,5951,11075,6445,7070,17905,8384,11057,10080;13232,16502,9275
9275,354,3171,9433,16502,12740,12088,10477,3319,1620,4633,13944,11075,6445,5951,7070,10080,11057,8384,6255;16502,9275
9275,354,3171,13232,9433,12740,12088,10477,3319,6445,11075,1620,13944,5951,4633,7070,10080,8547,6255,11057;9275
4944,9747,13679,16887,1720,477,729,317,676,5530,9384,13275,12617,16321,507,8870,12229,4619,13829,14673;9747,16043
13679,2024,4944,16887,1720,477,729,317,676,5530,9384,12617,16321,13275,507,8870,12229,4619,13829,14673;16043
2475,8955,17127,235,7328,11399,10145,1468,8286,2961,13992,12532,3049,9781,12767,3084,13742,6596,3522,16891;10412
17936,16583,14180,9015,4191,10959,16582,7328,345,1394,13798,14320,17520,4813,10074,4106,9823,317,16887,676;9015,3929,9015
3929,17936,16582,13798,1014,16583,14180,4191,10959,7328,345,1394,14320,17520,4813,10074,4106,9823,477,317;3929,9015
9015,17936,16582,13798,16583,14180,4191,10959,7328,345,1394,14320,4813,17520,10074,4106,9823,1014,477,5530;9015
10347,8994,6406,11210,317,16321,13829,477,729,16887,4619,5530,9384,1720,12617,13275,507,8870,676,4066;15086
6900,6219,140,2096,16398,15438,8434,5530,9384,1720,12617,16887,317,13275,507,8870,12229,4619,2234,676;6900
